#{"t_start": 1560038778.4244044, "env_id": "Diplomacy_Negotiation-v0"}
r,l,t
-180.0,38,85.233509
0.0,40,163.755591
-20.0,40,246.242707
690.0,40,329.630675
550.0,41,411.819176
-180.0,26,494.447436
530.0,40,573.873606
140.0,40,653.704161
1540.0,28,713.069131
-260.0,8,787.886977
320.0,41,868.515269
60.0,41,951.453577
-170.0,24,1000.824074
290.0,41,1084.251824
780.0,40,1163.046188
-150.0,34,1248.453042
330.0,40,1329.466338
540.0,40,1406.988158
490.0,40,1486.606064
180.0,30,1546.482621
270.0,40,1625.156196
-310.0,22,1702.747862
110.0,40,1778.645692
270.0,24,1829.239224
30.0,40,1906.990351
460.0,40,1985.464227
-140.0,41,2068.59831
390.0,41,2154.08857
270.0,41,2233.58305
210.0,41,2312.270855
400.0,34,2386.825108
-310.0,28,2467.387973
-230.0,14,2555.951132
310.0,32,2616.711435
-260.0,12,2704.734366
1250.0,40,2785.518608
20.0,36,2850.712654
110.0,40,2928.54677
-180.0,24,3008.323146
130.0,40,3085.450264
220.0,41,3165.148512
390.0,41,3246.374843
-100.0,36,3330.755201
1550.0,38,3406.75208
190.0,40,3488.248345
400.0,41,3561.787192
810.0,40,3649.165589
-160.0,34,3729.092564
340.0,41,3810.057509
470.0,40,3888.870051
460.0,41,3966.642527
-50.0,26,4019.990525
760.0,40,4098.667654
450.0,41,4180.053344
-140.0,38,4255.292189
-150.0,32,4320.669301
870.0,40,4397.798751
650.0,40,4479.666322
400.0,40,4563.489305
210.0,40,4643.998595
1550.0,32,4712.20118
100.0,40,4791.580416
50.0,40,4867.401043
370.0,26,4921.759174
140.0,40,5005.482027
500.0,40,5087.431289
420.0,40,5167.678046
-160.0,32,5241.187113
100.0,40,5322.599622
540.0,41,5403.414636
-50.0,40,5482.227539
530.0,40,5562.252906
190.0,40,5646.199281
-250.0,16,5696.485499
420.0,41,5778.326374
260.0,40,5856.011239
420.0,40,5939.489368
-120.0,40,6019.106079
230.0,36,6089.558235
170.0,40,6168.748271
-140.0,36,6244.21924
470.0,40,6323.398484
280.0,40,6401.79143
90.0,38,6478.969846
520.0,40,6568.351973
400.0,41,6649.959265
380.0,32,6715.10653
-250.0,18,6802.111937
350.0,40,6887.253679
160.0,40,6967.454909
740.0,40,7044.158768
1640.0,38,7125.606642
1040.0,41,7208.760922
-180.0,22,7286.443207
230.0,38,7363.80872
520.0,40,7443.146284
370.0,40,7521.562856
930.0,41,7602.506372
420.0,40,7685.229819
830.0,40,7771.561124
70.0,40,7850.057566
640.0,40,7929.464379
160.0,24,7981.510471
330.0,40,8064.026188
490.0,40,8146.188833
190.0,40,8230.533089
-230.0,20,8320.133606
510.0,40,8404.804339
-120.0,34,8489.815702
130.0,40,8567.193778
320.0,40,8655.785598
250.0,40,8733.290218
1450.0,40,8848.930096
1080.0,40,8936.699729
10.0,41,9017.502972
0.0,28,9079.846706
500.0,40,9156.453123
1300.0,40,9238.367799
390.0,41,9323.201047
1520.0,40,9402.785303
-140.0,36,9485.979258
720.0,40,9565.873019
620.0,40,9648.315419
60.0,40,9731.402067
680.0,40,9811.496732
380.0,32,9877.065959
0.0,40,9962.062409
-230.0,24,10045.035153
1490.0,32,10111.925463
110.0,40,10192.237363
330.0,40,10282.828006
280.0,41,10365.89061
230.0,40,10454.420705
1080.0,40,10538.645084
620.0,40,10621.358901
120.0,40,10710.454869
610.0,40,10802.44671
170.0,40,10889.849234
-80.0,41,10975.321388
-10.0,34,11053.158702
50.0,41,11135.486674
380.0,41,11217.853407
190.0,41,11301.095485
740.0,41,11384.931692
-260.0,20,11453.127569
-60.0,40,11538.77277
270.0,41,11623.074703
-260.0,22,11709.464286
180.0,41,11794.901832
500.0,40,11877.016373
90.0,40,11958.603232
550.0,40,12042.603017
-80.0,38,12137.368835
210.0,40,12216.268183
-170.0,32,12302.263492
120.0,40,12383.642843
520.0,40,12468.665913
-230.0,16,12537.572511
150.0,41,12633.437933
-20.0,41,12716.066983
240.0,21,12962.196977
20.0,52,13288.595573
-110.0,46,13652.366748
